년도	제목	장르	가사
2003	The ...	록/메탈	떠 올려봐 기억해봐  나와 사랑했던 기억들  니 마음을 내게 돌릴  행복한 기억 모두 지운거니  사랑했었단 말은 하지마  좋아했었단 말은 하지마  니가 날 떠나도 너를 볼 수 없어도  널 향한 내게 끝은 없으니  내 맘을 가져가 니가 힘들때  다른 사랑에 마음 다칠때  세상에 한 사람 변함없이 널 사랑하는  나를 기억해 그때 다시 돌아와줘  난 믿지않아 니가 변한걸  넌 잠시 내게서 멀리 있다 믿을께  널 향한 네게 끝은 없으니  내 맘을 가져가 니가 힘들때  다른 사랑에 마음 다칠때  세상에 한 사람 변함없이 널 사랑하는  나를 기억해 그때 다시 돌아와줘  이별이 끝은 아닐꺼야 너의 소중함을  다시 깨닫게 될 너의 마음에  내 맘을 가져가 니가 힘들때  많은 시간이 흐른뒤에도  세상에 한 사람 변함없이 널 사랑하는  내게로 와줘 그때에 더 사랑할께 -
2003	사랑 뒤의 사랑	록/메탈	내게로와 나를 믿는거야 다른 생각하지마  난 너를 위해 태어났다 믿어 말해주고 싶지만  기다릴께 너를 버린 그를 다 지워낼 때까지  나 알고있어 사랑을 믿는게 넌 아직 두렵겠지      내 곁에 있는 이 순간에도 넌 그를 기다릴지 몰라  하지만 너를 위해 나가진 하나까지  던질수 있는건 그가 아닌 나인데      Don't you know I'm waiting for you alone  괜찮아 이렇게 넌 내곁에 있잖아  오늘도 니맘을 모두 그가 가졌다해도      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면  I can't live with out you      그를버려 모두 지워버려 다 널 위한 일이야  난 오늘도 널 향해 이런 내맘 또 꺼내지 못했지      한 사람만을 향한 니맘을 난 누구보다 잘 알기에  말하지 못한거야 나가진 하나까지  던질수 있는건 그가 아닌 나인데      Don't you know I'm waiting for you alone  괜찮아 이렇게 넌 내곁에 있잖아  오늘도 니맘을 모두 그가 가졌다해도      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면      기다려 달라고 말해줘 오랜 시간이 지나도 괜찮아  난 다를거라 믿어 널 지킬거라 믿어  니 어떤 모습도 사랑할게 워~~워~~      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면  I can't live with out you
2003	약속	록/메탈	다시 너를 마주친 날 잠들수가 없던 나는  어린시절 너와 나의 꿈을 꾸었지  하얀 네가 웃을때면 자꾸 가슴 떨려와서  바라볼 수가 없었던 어린 내 모습  우리 헤어진 날 얼마나 내가 울었는지  넌 아니 안녕이란 말도 할 수 없었지  제발 한번만 더 너만을  다시 만나게 해달라고  매일 기도했어 오랜시간  너 하나만을 계속 그리워하며  이젠 너에게로 달려 갈거야  너의 손을 잡고 너의 눈을 보면서  아주 오랫동안 감춰둔  너를 향한 나의 맘을  오직 너에게만 보여줄꺼야  마주 잡은 손이 떨려와  네가 화를 낼까 겁이나  이런 내 맘 너는 알고 있는지  작은 손가락을 걸면서  너와 함께했던 약속을 너도 기억하니  오직 나만 기다리기로 우리 맹세했잖아  이젠 그 약속을 지켜줄꺼야  너를 안아줄수 있도록 나 컸잖아  처음 그리고 또 마지막  내 마음 모두 가져간  오직 너에게만 말해줄꺼야   다시 만날 인연이   운명이 아니란걸 알아  이젠 너에게로 달려 갈거야  너의 손을 잡고 너의 눈을 보면서  아주 오랫동안 감춰둔  너를 향한 나의 맘을  오직 너에게만 보여줄꺼야
2003	어느 소녀의 희망	록/메탈	하늘을 덮어버린 회색빛 구름처럼  사라진 우리들의 소중한 추억  먼 기억 저편으로 저만치 희미해진  전설 속 아름다운 세상있었지  우리들의 욕심이 망쳐버렸던 세상  그 댓가로 많은걸 잃고 살았다는 거야  그래도 난 숨은 그림처럼  어딘가 있을 그 섬을 그려보곤 해 아-  저 멀리 하늘을 날아가던 섬이 있어  행복한 웃음들이 번져가고  투명한 태양빛이 부서지던 곳  소녀가 가졌던 빛이 사라지기 전에  하늘을 나는 섬을 잃기전에  영원히 간직할거야  모두다 가지려고 욕심을 부리지만  그럴수록 그곳은 멀어지고 만다는걸  걱정하듯 소녀의 두 눈은 말하곤 했어  절대로 잊지 말라며 아-  저 멀리 하늘을 날아가던 섬이 있어  행복한 웃음들이 번져가고  투명한 태양빛이 부서지던 곳  소녀가 가졌던 빛이 사라지기 전에  하늘을 나는 섬을 잃기전에  영원히 간직할거야  나- 이제는 전설처럼 아득한 그 곳  나- 그 빛을 다시 보여줘 -
2003	잘 살아요	록/메탈	그대가 보이네요  너무 그리워 그대를 찾아 왔죠  예전처럼 예전처럼  눈부신 모습 변함 없네요  날 보며 놀랄까봐  가까운 골목 귀퉁이에 숨어서  나의사랑 나의사랑  잘 지냈었냐고 혼잣말을 해  사랑해요 아직도 그래요  부족했던 지난날 미안했어요  다시 또 그대를 가질수는 없겠죠  언제나 잘 살아주세요  참 많이 울게했죠  차라리 사랑하게나 하지 말걸  내 욕심에 내 욕심에  그대의 가슴만 아프게 했죠  날 잊어요 원망해야 해요  그댈 버렸던 사람 원망인 사람  추억의 끈마저 모두 놓아 버려요  그대는 아프지 말아요  하늘에 빌죠 다신 이렇게  그댈 찾는 일 없게 해달라고  사랑해요 아직도 그래요  부족했던 지난 날 미안했어요  다시 또 그대를 가질수는 없겠죠  언제나 잘 살아 주세요  내 사랑 잘 살아요 -
2003	가버려!	록/메탈	앞에서 사라져 완전히 사라져  나 아무 욕심 가질 수 없도록  다른 사람에게로 떠나가면서  내게 아픈 눈빛을 보여주지 마  그동안 고마웠었다고  부디 잘 살라고  내가 먼저 말해버렸어  얼마나 너를 사랑하는지  더 이상 필요 없게 됐잖아  이렇게 보내줄 때 떠나  자꾸 돌아보면  네 걸음을 잡을지 몰라  불안한 내 미래와 책임감  나 또한 버릴 거야  난 괜찮아 살아갈 수 있어  너 하나쯤 잊어주겠어  나의 인생에 너 하나 없어도  아무 상관이 없어  다신 나를 찾지 마  앞에서 사라져 완전히 사라져  나 아무 욕심 가질 수 없도록  냉정해야 할 사람 바로 너잖아  네가 선택했잖아  그 사람만 사랑해 죽도록 사랑해  날 떠나버릴 이유가 되도록  나란 존재가 있다는 사실도  기억하지 말아줘 돌아보지 마  뭐든지 해주고 싶었어 좋은 것을 보면 늘 너 먼저 생각이 났어 언젠가 줄 거라던 다짐도 지킬 수 없게 됐어 잘된 거야 나도 편해졌어 시원하게 잘 끝난 거야 부족한 사랑 늘 찾아달라고 강요할 수가 없어 다신 나를 찾지 마 앞에서 사라져 완전히 사라져 나 아무 욕심 가질 수 없도록 냉정해야 할 사람 바로 너잖아 네가 선택했잖아 그 사람만 사랑해 죽도록 사랑해 날 떠나버릴 이유가 되도록 나란 존재가 있다는 사실도 기억하지 말아줘 돌아보지 마 널 너무 사랑해 말하고 싶어 전부였다고 삶이었다고 혼자가 되기 싫다고 차갑게 가버려 완전히 가버려 날 사랑하지 않았던 것처럼 다른 사람에게로 떠나가면서 자꾸 울먹이지 마 그 사람만 사랑해 죽도록 사랑해 날 떠나버릴 이유가 되도록 나란 존재가 있다는 사실도 기억하지 말아줘 돌아보지 마
2003	It`s U	록/메탈	I love you forever to the End  Be with me to the end of time  All I want to find  it's you Just only you  - 간 주 중 - 내가 찾아 헤매던 꿈꿔 왔웠던 오랜 바램인걸까  사랑할수록 좋아할수록  더 큰 두려움이 자라지  너를 피해보려고 잊어보려고  아무리 애를 써도  지울 수 없는 너의 모습에  나의 맘이 아플뿐이야  언제부터 니가 나의 꿈이 되어 버렸니  바라는 모든것이 너 하나 뿐이야  모르겠니 나는 너를 사랑하고 있는데  너만 이렇게 날 불안하게 할 수 있잖아  I love you forever to the end  I love you forever to the end  이런 나의 맘을 왜 이렇게 모르는 거니  I love you forever to the end  Be with me to the end of time  너 하나만 보며 살아가는 나잖아  - 간 주 중 - 그리움에 잠이 들 수 없는 날들이 있어  너 없는 시간들이 견디기 힘들어  이대로 영원토록 함께 있어 줄거라고 말해줘  내가 너에게도 오직 하나뿐인 나라고  I love you forever to the end  I love you forever to the end  이런 나의 맘을 왜 이렇게 모르는 거니  I love you forever to the end  Be with me to the end of time  끝이 없는 나의 맘을 줄꺼야  All I want to find it's you  all I want to find, it's you  제발 나에게로 찾아와줘 그것 뿐이야  나의 모든 것을 네게 줄꺼야  네가 원한다면 모두 줄꺼야  나의 눈을 보면 내 마음을 알 수 있잖아  내가 원하는건 하나 뿐이야  너와 함께 있는 이 순간이야  All I want to find  It's you just only you
2003	To. Fan	록/메탈	보이지 않는 길을 혼자서 걷고 있는 것처럼 희미한 안개 만이 내 앞을 가로막고 있을 뿐 혼자 가는 길이 지치고 힘이들 때 뒤돌아보면 언제나 니가 있어 나를 향해 웃었지 아무 약속 없는 긴 여행이라고 해도 운명이 내게 시키는 대로 나 걸어야 하겠지 내곁을 지켜주겠니 이렇게 비틀대는 나에게로 때 이른 소나기에 온몸이 젖어버리는 것처럼 나에게 스며든 넌 슬픔을 모를 것만 같아서 잠이 오지 않는 새벽에 널 생각해 내가 너의 슬픔이 된다면 내가 더욱 아플것만 같아서 너를 지킬거라 긴 다짐들을 해도 이제는 지난 얘기가 되버린 오래된 꿈들이 내게서 떠나질 않아 말없이 안아주는 니가 있어 아직 나 꿈을꾸잖아 이제는 둘이 아닌 하나라고 언제나 함께 있을꺼라고 워~ 아무 약속 없는 긴 여행이라 해도 운명이 내게 시키는 대로 나 걸어야 하겠지 내 곁을 지켜주겠니 이렇게 비틀대는 나에게로 영원히 나를 지켜줘 워~
2004	Paradox	록/메탈	"뭐가 대단해, 다 그렇게 살면 돼..yeah  내가 살아남는 법을 욕은 해도  넌 내가 되고 싶지 안 그래?  싸바 싸바 하면 대충 때워..  다 처리했으니까 3차 가자 ..Huh  개벽을 기다리던 사람도  평온만을 소망하는 민심도  그 거짓말로 지쳐버렸고  굶주린 자기 배만 채웠던  어르신네들아 피가 되어도  살이 돼줘도 모자랐던가  온 세상을 손안에 넣고  휘둘러도 된다고 믿는가  내가 미쳐! 당신은 보기 좋게  여기서 막 내리고 이 바닥에서 끝-  손 하나로 하늘을 전부  가릴 수도 있다고 믿는가  언제까지 모래로 성을 쌓겠는가  넌 잘 몰라 내가 사는 인생 말이야  이해하기 힘들겠지  이 심오한 세계를 말이지  너 따위는 쳐다볼 수 없는 나무야  너 같은 것은 꿈도 꿀 수 없어 웃겨!  생각해봐 얼마나 공들였는데 말이야  걱정 마 이번 건은 손 봐뒀어  내 열매를 터뜨려 뺏기는건 시간문제  하늘은 내꺼 난 내 Do에 깔려 죽고 싶어!  온 세상을 손안에 넣고  휘둘러도 된다고 믿는가  내가 미쳐! 당신은 보기 좋게  여기서 막 내리고 이 바닥에서 끝-  손 하나로 하늘을 전부  가릴 수도 있다고 믿는가  언제까지 모래로 성을 쌓겠는가  긴 시련들을 이겨내 이 땅을 지킨 우리들  모두 같은 꿈을 꾸는 걸  서로 의지하고 보다 밝은 미래로  함께 걸어가는 것  어둠 속에 갇혀 길을 잃어버린 자,  이제 그만 눈을 떠라 때가 왔다  어둠 속에 묻혀 숨을 죽여 버린 자,  이제 그만 눈을 떠라 때가 왔다  기회가 있는 꿈이 실현되는 삶이 있는 땅  정의로운 자가 주인 되는 곳  더 이상은 포기할 수 없어 이젠 다  돌려받아야만 돼  온 세상을 손안에 넣고  휘둘러도 된다고 믿는가  Oh! no..너 허튼 생각 마  닥치고 이걸 봐 여긴 니가 버린 땅  손 하나로 하늘을 전부  가릴 수도 있다고 믿는가  언제까지 모래로 성을 쌓겠는가  We must going back..the name of ""justice""  ""freedom"" and ""Our territory"" my word bring  forth new paradigm  time of decision...live or die"
2004	On The Road	록/메탈	잊었던 것들로 가득한 곳 갇혀  이 세상엔 후회 같은 날이 더.. 무엇도 원치 않던  서툴렀던 그 모습대로 살고 싶어 When I blow my flow check attack 1.2 나야 나야 나 그저 나일 뿐  you wanna feel this now and I'm going down 길을 걷는 나야 나 일뿐 wanna feel this right  지켜온 기억이 부서진 날 속에  약속할 수 있었어 그들과 같은 길을 가진 않겠어 그 시작은 어디일까 널 처음 알게 한 낯선 곳을 갔지 추억해선 안 될 것도 없지만 꿈꾸고 있던 걸까 순진한 너의 손으로 날 깨워줘 그냥 걷다 보면 붉은 빛깔의 하늘도 내게로 말을 하지 어서 빨리 뛰라고 더 빨리 뛰어야만 해 더 빨리 달려야만 해 Just 꾸밈없는 나를 찾아 가야 하는 거야 지켜온 기억이 부서진 날 속에  약속할 수 있었어 믿어보기로 해 난 멈추지 않고 헤매 봐도 괜찮겠지 Now I see, 천천히 눈을 뜨면 돼 Now I breathe, 세상이 그렇듯 모든 게 변해도  나는 그대로 인걸 지켜온 기억이 부서진 날 속에  약속할 수 있었어 믿어보기로 해 난 멈추지 않고 헤매 봐도 괜찮겠지 이대로 나에게 지워진 기억도 모두 헛된 거라고 그 누구도 나에게 말하진 못했지 그 시작은 나일 테니
